Episode,Step,Health,XVelocity,YVelocity,ZVelocity,XPosition,YPosition,ZPosition,ActionForward,ActionRotate,ActionForwardDescription,ActionRotateDescription,IsFrozen,Reward,NotificationState

---New Episode---
1,1,100,0,0,0,10,0.51,20,0,0,No Movement,No Rotation,False,0,None
1,1,100,0,0,0,10,0.51,20,0,0,No Movement,No Rotation,False,0,None
1,2,99.8,0,-0.1709294,0,10,0.5062016,20,0,0,No Movement,No Rotation,False,-0.002,None
1,3,99.60001,0,-0.3198432,0,10,0.4990939,20,0,0,No Movement,No Rotation,False,-0.004,None
1,4,99.40001,0,-0.3637552,0,10,0.4918188,20,0,0,No Movement,No Rotation,False,-0.006,None
1,4,99.40001,0,-0.3273797,0,10,0.4918188,20,0,0,No Movement,No Rotation,False,-0.006,None
1,5,99.20001,0,-0.06547594,0,10,0.4903638,20,0,0,No Movement,No Rotation,False,-0.008,None
1,6,99.00002,0,-0.01309347,0,10,0.4900729,20,0,0,No Movement,No Rotation,False,-0.01,None
1,7,98.80002,0,-0.002908707,0,10,0.4900147,20,0,0,No Movement,No Rotation,False,-0.012,None
1,7,98.80002,0,-0.002617836,0,10,0.4900147,20,0,0,No Movement,No Rotation,False,-0.012,None
1,8,98.60002,0,-0.0005235672,0,10,0.4900031,20,0,0,No Movement,No Rotation,False,-0.014,None
1,9,98.40002,0,-0.0001072884,0,10,0.4900007,20,0,0,No Movement,No Rotation,False,-0.016,None
1,10,98.20003,0,-2.384186E-05,0,10,0.4900002,20,0,0,No Movement,No Rotation,False,-0.018,None
1,10,98.20003,0,-2.145767E-05,0,10,0.4900002,20,0,0,No Movement,No Rotation,False,-0.018,None
1,11,98.00003,0,-4.291534E-06,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.02,None
1,12,97.80003,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.022,None
1,13,97.60004,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.024,None
1,13,97.60004,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.024,None
1,14,97.40004,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.026,None
1,15,97.20004,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.028,None
1,16,97.00005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.03,None
1,16,97.00005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.03,None
1,17,96.80005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.032,None
1,18,96.60005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.034,None
1,19,96.40005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.036,None
1,19,96.40005,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.036,None
1,20,96.20006,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.038,None
1,21,96.00006,0,0,0,10,0.4900001,20,0,0,No Movement,No Rotation,False,-0.04,None
